#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
#,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
# A,lf,"is an extensive terminal file manager that everyone likes."
,exa, "a replacement of ls"
# A,paru, "better AUR helper, only available in AUR"
A,nvim-packer-git,"neovim plugin manager written in lua"
,ueberzug,"enables previews in the lf file manager."
,alacritty,"a great terminal emulator"
A,rofi-lbonn-wayland,"a dmenu replacement that works under wayland and x, and has better customisability"
A,vifmimg-git, "is a pretty awesome file manager"
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,lxappearance, "a gui to manage theming"
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,firefox, "just firefox"
A,nnn-nerd,"good file manager that everyone loves"
,noto-fonts-emoji,"is an emoji font."
,npm, "is a package manager for javascript"
,cmake, "make system"
,llvm, "compiler and toolchain technology"
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,fd,"'find' replacement for quick searches"
,arch-wiki-docs,"search the arch wiki online"
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,ttf-sourcecodepro-nerd,"good font"
,awesome-terminal-fonts,"good icon font"
,unzip,"unzips zips."
,pcmanfm, "lightweight standalone GUI file manager"
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,bat,"can highlight code output and display files."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,zsh-autosuggestions-git, "gives good completions"
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,btop,"is a graphical and colorful system monitor."
S,https://github.com/Soliprem/suckless,"suckless software. Good stuff"
G,httpe://gitlab.com/dwt1/dmscripts,"a collection of nice dmenu scripts"
A,ly,"Display Manager"
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,foot,"terminal"
,swaybg,""
,waybar,""
A,hyprland-bin,""
